CID,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
3385,11.984814814814815,-1.001157407,11.984814814814815,0.7070370370370369,0.482564502908463,130.07799999999997,127.054,130.0178556,48,0,0.3253471361874118,-0.311155703,0.3253471361874118,0.3111557027192775,1.4444444444444444,2.111111111111111,2.5555555555555554,19.142219988403813,10.626560738634353,1.9303482220113939,-1.806642948,1.7353535956112751,-2.229116762,4.826193296330208,0.5965732097860823,3.5238977189940166,312.83394095677266,6.8533711511285205,4.271811323126579,4.271811323126579,4.198377302757663,2.1745807961581027,2.1745807961581027,1.4198610557263855,1.4198610557263855,0.7739642065842111,0.7739642065842111,0.39336190970452906,0.39336190970452906,-1.39,104.20091930659319,5.741406044678055,1.8479763724759504,1.042170728106469,48.359278684403755,4.9839785209472085,0,0,5.817220841045895,5.559266895052007,5.689743398203474,9.77851570501903,4.794537184071822,4.39041504767482,0,0,0,6.196843571613076,0,4.39041504767482,0,0,9.967957041894417,0,0,0,32.8521490740581,0,0,11.24901029325548,4.39041504767482,0,0,9.967957041894417,0,5.817220841045895,0,15.785917939756718,0,0,0,65.72,17.066231134301376,13.979489415818463,0,0,6.196843571613076,0,0,4.9839785209472085,4.9839785209472085,0,0,11.984814814814815,0,24.005000000000003,0,-1.708194444,-0.991111111,0,0.7094907407407409,0,0,0,9,2,4,0,0,0,0,1,1,2,2,5,0,0,0,0,1,-0.7977,27.641399999999997,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9444,11.47087065381708,-1.349931028,11.47087065381708,0.19630241139665694,0.4262474653048269,244.207,232.11099999999996,244.0807695,94,0,0.3537755335999937,-0.393566854,0.39356685384882617,0.3537755335999937,1.4705882352941178,2.176470588235294,2.7058823529411766,16.56308258879999,10.129409323196075,2.4336567998313914,-2.155752475,2.2714058877031276,-2.359718494,5.096429327413402,-0.0554012,2.3196952658217853,463.4739146948156,12.576985790260121,8.67098655025178,8.67098655025178,8.04091255785876,4.874101496834199,4.874101496834199,3.633272892075586,3.633272892075586,2.5367936290276383,2.5367936290276383,1.6397206934395896,1.6397206934395896,-1.55,7816.79425634862,11.921540359013681,4.372750406697864,2.0017705966337545,95.11685725053704,25.790112615484354,24.639219238009446,6.22790117073487,5.948339280986494,0,5.689743398203474,4.567099647791355,9.77851570501903,4.9839785209472085,0,0,0,0,6.606881964512918,20.056445138322168,5.948339280986494,0,14.53505668968577,0,24.539800333979777,12.340549441675103,16.811600657039836,0,0,11.423410875365658,5.948339280986494,0,0,54.773420001965704,4.736862953800049,0,6.22790117073487,11.121857258836364,0,0,0,143.72000000000003,36.83642569669616,15.007591973753234,0,5.948339280986494,0,10.894419722555895,0,0,0,9.967957041894417,15.577057825802939,6.036694066515495,0,18.427470238095236,28.089890925506005,4.456252204585538,-0.196302411,0,-3.674428382,-0.472909974,0,0.625,17,5,9,0,1,1,0,1,1,9,4,9,2,0,1,1,2,-3.168,53.71380000000002,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76285486,6.221218103751092,-0.030856572,6.221218103751092,0.030856571604001237,0.8152170267075821,329.44400000000013,302.22800000000007,329.2103271,130,0,0.16281623089382322,-0.492855847,0.4928558474132925,0.16281623089382322,1.1666666666666667,1.9583333333333333,2.625,16.513837082248493,9.642431482830155,2.4726482604698954,-2.384952878,2.534185167578002,-2.439038789,6.0005217321496875,0.2536063320804276,1.4447722178638216,646.2571399124873,16.570703332935974,14.514042391361999,14.514042391361999,11.726311962521507,9.15155106323362,9.15155106323362,7.203683018199617,7.203683018199617,5.810777107155981,5.810777107155981,4.204409434897729,4.204409434897729,-1.75,455415.3947478778,15.758871679247132,6.2799536056934375,2.549687825182102,143.3802944581552,20.107303115612762,5.835619785757269,11.49902366656781,0,0,0,0,4.992404732635669,0,0,6.4208216229260096,56.8234394866138,12.611123474374185,24.819056249870794,9.473725907600098,11.523006060440832,0,4.899909730850478,10.726072209797854,43.939920206952834,33.35094872352818,17.696185628620217,0,11.49902366656781,15.207393384762284,5.687386274683562,11.49902366656781,0,44.086478240135925,5.41499046939678,0,44.08838122925306,17.12513886955889,0,0,0,60.080000000000005,0,0,0,5.41499046939678,6.606881964512918,48.82925100169924,37.91542917230017,7.109797541277533,6.06636706846161,15.958681531947757,15.207393384762284,11.577541493449232,0,7.113860799727503,0,8.366342685283277,2.3413697900724424,4.094849143361047,7.103888073482837,4.285649897240806,1.699831450716191,0.631578947368421,24,2,5,1,2,3,1,0,1,5,1,5,6,1,1,2,4,2.983900000000001,95.59140000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11228183,13.350173424520452,-4.426475302,13.350173424520452,0.14022089500093804,0.057731341530079264,813.4459999999998,768.0859999999998,812.2581382,292,0,0.29319831669218793,-0.375865871,0.37586587134379357,0.29319831669218793,0.8928571428571429,1.5714285714285714,2.25,35.49569396160892,9.989707382848927,2.256813091740271,-2.361082974,2.3080892887896156,-2.455688422,7.989601752948648,-0.383694259,1.0585139842646751,2217.385045824551,39.657914523816956,31.30576679073062,33.694688898604525,26.94553056377787,18.309170299264313,21.155896579521407,13.90206711515538,17.11431812575606,9.615521135743391,12.370692383893878,6.534222261752502,8.647179258455468,-4.92,2355276046475.4976,40.73460591248288,18.81158110620648,10.888101212645315,337.4141295080148,15.116608065707286,5.687386274683562,0,0,21.61785715744265,0,19.80876518368787,13.139891848781026,0,11.761884949391115,66.198243506387,104.41494715390007,71.75379808955888,9.818794524335445,18.13564521721843,56.35545454643341,0,14.521914326153045,0,28.798385809022097,62.78867793652084,147.59119593513313,0,11.126902983393991,14.938793199308897,17.062158824050687,0,23.36282483962363,87.66192765501108,16.56804755932016,10.114318268765572,22.34226179039182,131.11830832026783,5.022633313741326,11.126902983393991,0,128.13,26.54116820626032,23.32665243716633,0,22.188162071046293,17.196308543414126,61.481226745835386,23.259637120317212,36.027353223237554,79.65892438082098,38.03780413554421,11.600939890232516,28.78843137939308,7.747101501076425,32.1047204942583,16.150232351821344,4.447439989755548,-0.186761947,36.452865975845185,0.7043110809325581,4.828433655185807,-0.508996703,0.2619047619047619,56,2,11,0,1,1,5,0,5,10,2,14,16,0,1,1,6,7.880600000000009,226.31609999999944,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
56645356,14.297563599169388,-0.929394369,14.297563599169388,0.012463860544217997,0.5451792645525018,462.56900000000013,431.3210000000002,462.2431045,178,0,0.2475631552486475,-0.351262356,0.3512623564102884,0.2475631552486475,1.1176470588235294,1.8823529411764706,2.5588235294117645,19.142148547008034,9.93459300099126,2.3478031087270606,-2.340061079,2.313105110951154,-2.479932188,6.010928193432258,-0.127146788,1.7746952609783258,1152.7916715473928,24.07877502244374,19.706945757831623,19.706945757831623,16.435560745775547,11.850608336101029,11.850608336101029,8.9486154460496,8.9486154460496,6.525459798082795,6.525459798082795,4.673953316353886,4.673953316353886,-3.48,56915271.1088912,23.6705972283138,10.633164473012956,5.353347080433224,199.3561210962364,9.883888251797686,24.22822257410636,0,11.814359458703011,0,0,14.48898409899412,9.374393568622029,0,0,49.594300211086086,56.01512183401209,24.122914247057675,0,13.979489415818463,17.501745733386574,0,14.867866772744893,0,64.5800205782198,4.899909730850478,83.69315201335884,0,0,10.216698334856808,10.077801322358383,0,0,27.407278456589534,16.133830774056218,19.664695240427143,55.09725642517193,60.924623690919034,0,0,0,67.23,11.859061670193856,13.979489415818463,0,24.400956693763547,11.51179077268349,36.81018947509803,23.453465490699706,29.093520927940727,38.112942673227685,10.30076712495354,0,16.022346498248822,0,33.22385570077798,3.1889076278659614,1.9489795655916693,-0.350105323,12.550056738362114,8.526751534504303,3.7225409911672607,0,0.37037037037037035,34,1,6,1,0,1,2,1,3,4,1,7,7,1,0,1,4,4.862440000000004,129.78570000000002,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71299339,12.92294029507167,-4.544113522,12.92294029507167,0.01597373098816046,0.43338038352309916,481.5210000000001,463.3770000000002,481.0741681,168,0,0.4159855244059726,-0.307705618,0.4159855244059726,0.3077056184896502,1.03125,1.8125,2.46875,32.23328935903893,10.074378641794945,2.305929025180468,-2.145373407,2.333803395829673,-2.258661375,7.891502083294968,-0.137099876,1.6066437871787895,1238.670952972804,22.932510652501765,16.44020139480598,18.073194556661434,15.115141533524865,9.559313394138004,11.985285683314462,7.272664641281841,9.76667831220227,4.728648640348563,6.930053788075803,3.0099651464090447,4.996664789685728,-2.89,16226163.241160197,22.309163456434455,8.566038312755065,5.289581859958985,186.07332497255203,10.633577208012662,0,0,10.023291153407584,0,12.207413029781547,0,17.934429032852847,24.508031020959194,0,12.13273413692322,65.5634226892505,17.292678595528518,16.14632124189833,26.383579311425223,38.765964093047515,0,4.722094864452088,0,29.95526606796123,10.633577208012662,64.85451358032171,0,11.126902983393991,15.355672072464749,29.340554876463408,0,11.336785877934737,20.49075232581497,16.199589670851058,0,18.405094737549014,64.18654556414248,0,11.126902983393991,0,87.30000000000001,27.794155674886124,26.383579311425223,0,22.31209685403286,5.563451491696996,30.537828874472233,35.602254151781175,6.06636706846161,16.82649260939344,15.355672072464749,0,66.54363841264586,1.4294762087807409,12.531492202916265,8.600974473284333,0.6184432752569835,0,9.536920576100322,-2.995066019,0,-3.76587913,0.19047619047619047,32,3,6,1,0,1,2,1,3,4,3,11,6,1,0,1,4,5.518600000000002,117.18390000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2130404,12.664761603268998,-0.548526829,12.664761603268998,0.10279223006074845,0.30002572791339377,434.28200000000004,421.1780000000001,433.03848201600005,146,0,0.26596979252201763,-0.456637481,0.456637481473743,0.26596979252201763,1.1,1.9666666666666666,2.8,35.49678854863354,10.136353813053931,2.1382793318457622,-2.07057968,2.3200769502866234,-2.132456455,6.348177041631611,-0.111960215,1.61014415095078,1330.5383835997536,21.08721119088102,15.395055948221609,16.906913840258518,14.546045193307766,8.871175874495083,9.627104820513537,6.325785074986596,7.169420982199187,4.366210466205204,4.930895790032987,2.9543301310933825,3.3371120164896406,-3.59,9353210.593715899,19.71458694573698,8.417898385423705,4.0587800130106775,181.72189515266965,9.733939541059678,23.162820680610423,0,0,5.907179729351506,0,9.77851570501903,0,5.261891554738487,0,29.268246848926644,54.59730361615449,28.245172698350075,16.226720306041152,9.211688121125169,51.77539082341504,5.261891554738487,4.9839785209472085,0,0,5.316788604006331,88.23913283265556,0,17.39292022336371,5.316788604006331,5.687386274683562,0,23.20187978046503,10.891158250298714,4.794537184071822,11.33111286753076,5.760247418874442,76.8507697233518,10.045266627482652,28.302643949486374,0,78.92,5.907179729351506,10.056428738810308,0,5.573104530069267,32.816599231612095,10.902924932081056,6.076020106833881,54.727780119305955,18.201955449715495,10.30076712495354,27.619030717518378,5.74787750382267,12.233498922681562,16.925366989382383,14.01909804657193,1.8272898336836603,0.26990309266072887,19.314389281069072,3.051465219016886,0,0,0,30,1,5,0,0,0,2,2,4,4,1,7,4,0,0,0,4,6.347280000000002,118.12669999999999,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68947304,13.743608844727934,-0.320817521,13.743608844727934,0.15707482993197286,0.47981755042142876,385.40600000000006,369.2780000000001,385.1451217320001,142,0,0.1822488701872162,-0.361569176,0.361569176439029,0.1822488701872162,1.0344827586206897,1.9655172413793103,2.8275862068965516,19.142146051928012,10.00631137062793,2.17860673388997,-2.187041651,2.311053632384793,-2.110223166,5.845484926904993,0.6291247341551527,1.6391759278840274,1316.945156926893,19.794317972067567,15.464885411594905,15.464885411594905,14.186673185801062,9.11085353046422,9.11085353046422,6.6676495354847205,6.6676495354847205,4.759409251432026,4.759409251432026,3.3519802770473572,3.3519802770473572,-3.94,8867695.92931222,17.178335986631357,6.900271484134408,3.140458359354858,164.66160273616975,10.30076712495354,17.661241633426698,11.465039998602755,0,0,0,4.9839785209472085,24.326329131463652,0,0,6.06636706846161,37.255572541998674,23.212886346236477,29.273717611225685,4.39041504767482,27.88466564830007,0,29.90387112568325,0,12.965578028838586,5.316788604006331,72.69672553311632,0,11.387855989696922,5.316788604006331,10.208277825509848,0,0,29.90387112568325,0,5.817220841045895,18.52902952053558,61.31605320037343,0,33.45465886016197,0,92.27,0,4.39041504767482,0,11.859061670193856,22.675668711067477,22.160304418626517,18.460054211687762,18.590530714839225,31.18920547353706,30.23668120874237,4.9839785209472085,13.743608844727934,0,24.884796466329515,4.2603279320987655,4.241015400995109,0.32378796316251246,12.091813091793702,4.770999034830481,2.0169845993953137,0,0.09523809523809523,29,2,7,0,0,0,1,4,5,6,2,8,4,0,0,0,5,4.275300000000003,108.6534,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24905401,10.988434744268078,-1.236592183,10.988434744268078,0.08302516376921121,0.6929884458993375,313.78799999999995,297.65999999999997,313.09818981199993,112,0,0.12674779818651316,-0.379053009,0.3790530094391922,0.12674779818651316,1,1.5909090909090908,2.090909090909091,35.49569144566377,9.855887555072925,2.294050561831897,-2.276607328,2.306502346484296,-2.355646791,6.300939170318553,0.09024409173308126,1.9771456186243235,738.5899321061781,15.57913950137325,11.830351406281578,12.586280352300033,10.631176948131039,6.9149562166851455,7.292920689694373,5.135619213783666,5.572054994255651,3.8112112190036016,4.063187534343086,2.4751332760161713,2.601121433685914,-2.14,173654.2060161941,14.782990769673768,5.926701502059583,2.6391212307784437,133.1101284068742,10.84019487200289,5.601050810983688,0,0,0,0,5.098681808301038,0,5.098681808301038,0,47.99914230100218,28.823088612014207,23.327684782963974,6.196843571613076,5.106527394840706,11.600939890232516,0,10.197363616602075,5.733667477162185,5.601050810983688,6.544756405912575,77.07415998805436,0,11.126902983393991,5.733667477162185,0,0,11.600939890232516,21.84864741735536,5.601050810983688,0,11.126902983393991,60.924623690919034,5.022633313741326,11.126902983393991,0,74.93,5.601050810983688,5.106527394840706,0,6.544756405912575,5.022633313741326,22.253805966787983,0,30.462311845459514,30.462311845459517,10.197363616602075,17.3346073673947,0,5.907035660048734,0,18.330326600928846,8.08158159447842,0,14.716422982892437,3.5760524423267928,0.08302516376921121,0,0.11764705882352941,22,4,4,0,0,0,2,1,3,3,3,5,4,0,0,0,3,2.924700000000001,87.52890000000002,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135905416,12.397143272853908,-0.123278516,12.397143272853908,0.12327851624249653,0.5223139794638347,428.54000000000013,400.3160000000002,428.23245951600006,164,0,0.2601579359971486,-0.35351167,0.35351167032945857,0.2601579359971486,1.03125,1.71875,2.40625,16.138260352979383,10.00702736214055,2.2194918654209808,-2.36678447,2.2793754552248506,-2.541105751,5.775560823738563,0.4049938570381741,1.428994884622937,1327.0536693746587,22.405048436076804,18.88481892673305,18.88481892673305,15.385050488558726,11.026173506264891,11.026173506264891,8.88697746689226,8.88697746689226,6.181296742821343,6.181296742821343,4.62107388302995,4.62107388302995,-3.45,24869089.45025815,20.45254388262416,7.909760549282595,3.688343971002974,186.69025562930824,19.76777650359537,17.289444496602684,0,0,5.559266895052007,0,4.794537184071822,9.967957041894417,0,0,24.26546827384644,44.03084871938908,55.7414565794184,5.386224214464796,0,16.85126421306755,0,24.835823814639312,7.04767198267719,32.85489325736779,17.98942254267563,64.70914512481664,0,22.514758973090913,15.775965229908815,5.817862777835028,0,0,44.69222968075405,7.04767198267719,6.923737199690624,19.410925891078243,53.58642673806764,0,33.54816040832343,0,78.84,0,4.794537184071822,0,5.559266895052007,28.94148759152837,35.59773006475116,5.563451491696996,6.06636706846161,36.14119291061792,59.154968181207934,4.9839785209472085,1.8600413460105243,0,27.070117824112742,4.166179911189677,4.824724742698298,1.6006556101149012,12.966415739758434,3.8136196629270502,8.473239314614226,1.8916725152408156,0.32,32,2,7,0,1,1,1,3,4,6,2,7,3,0,1,1,5,3.4856200000000017,129.01140000000007,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
