Cell,Drug,ic50
ACH-000655,126565,0.812129
ACH-000655,176158,4.637911
ACH-000655,6505803,0.63951
ACH-000655,5311497,-2.587732
ACH-000655,11667893,5.972451
ACH-000655,5278396,5.718763
ACH-000655,10184653,1.857086
ACH-000655,24776445,5.110894
ACH-000655,24180719,4.990863
ACH-000655,11327430,4.252029
ACH-000655,16720766,1.527268
ACH-000655,11488320,4.387899
ACH-000655,156422,5.087093
ACH-000655,11624601,5.502396
ACH-000655,51042438,4.452633
ACH-000655,24737642,5.254628
ACH-000655,10384072,3.044659
ACH-000655,11433190,6.492789
ACH-000655,208908,4.086126
ACH-000655,1401,4.200543
ACH-000655,9914412,3.586314
ACH-000655,24771867,1.223707
ACH-000655,56649450,4.467967
ACH-000655,46930998,3.73446
ACH-000655,5330286,4.898682
ACH-000655,51001932,2.788018
ACH-000655,57345410,6.045261
ACH-000655,11977753,-0.468857
ACH-000655,17755052,2.188399
ACH-000655,25262965,0.863816
ACH-000655,9826528,3.39196
ACH-000655,24866313,3.359203
ACH-000655,10127622,4.906826
ACH-000655,9927531,4.3547
ACH-000655,2155128,2.533434
ACH-000655,3899,5.298367
ACH-000655,2314623,6.03347
ACH-000655,11404337,0.604621
ACH-000655,9938202,3.869864
ACH-000655,25227847,2.393474
ACH-000655,46883536,5.537355
ACH-000655,3385,6.625184
ACH-000655,68947304,3.918856
ACH-000655,11634725,5.093731
ACH-000655,16224745,3.026915
ACH-000655,3062316,1.521252
ACH-000655,36314,-3.237313
ACH-000655,4261,1.784395
ACH-000655,11626560,3.175411
ACH-000655,118704762,3.940669
ACH-000655,216239,2.840967
ACH-000655,11364421,0.838099
ACH-000655,46926973,4.804185
ACH-000655,60838,2.296121
ACH-000655,5310940,3.350234
ACH-000655,117072552,4.63292
ACH-000655,51000408,4.717392
ACH-000655,25124816,4.829075
ACH-000655,59472121,4.130124
ACH-000655,72200024,4.033405
ACH-000655,42623951,5.276076
ACH-000655,49847690,2.331732
ACH-000655,53469448,3.803234
ACH-000655,78243717,5.982389
ACH-000655,24753719,3.849781
ACH-000655,57519544,4.171766
ACH-000655,46943432,4.98947
ACH-000655,9936746,4.631933
ACH-000655,71268957,3.2629
ACH-000655,60167849,4.701675
ACH-000655,59473233,3.812141
ACH-000655,44462758,3.741592
ACH-000655,44631912,3.815706
ACH-000655,71299339,5.095504
ACH-000655,1018,5.653081
ACH-000655,52918385,6.807911
ACH-000655,11609586,5.348747
ACH-000655,42642645,1.70689
ACH-000655,46907787,4.832416
ACH-000655,71271629,4.916897
ACH-000655,56962337,2.270075
ACH-000655,176870,2.994686
ACH-000655,9931953,5.023772
ACH-000655,24958200,4.3641
ACH-000655,24856436,1.600925
ACH-000655,46926350,-2.78564
ACH-000655,60750,-2.7123
ACH-000655,387447,-4.712936
ACH-000655,2733526,5.17812
ACH-000655,104741,3.277327
ACH-000655,56962336,6.251388
ACH-000655,44632017,3.104874
ACH-000655,9813758,3.457091
ACH-000655,25099184,2.354236
ACH-000655,51039095,2.721679
ACH-000655,24821094,5.953357
ACH-000655,70983932,6.052582
ACH-000655,46236925,-1.150594
ACH-000655,11655119,4.602583
ACH-000655,35397514,4.638103
ACH-000655,2802462,5.331235
ACH-000655,73555129,4.576191
ACH-000655,462382,-1.554494
ACH-000655,11707110,2.190655
ACH-000655,44462760,6.07574
ACH-000655,5394,7.656902
ACH-000655,5460769,2.697334
ACH-000655,49846579,3.654386
ACH-000655,11228183,3.706565
ACH-000655,46843057,4.196929
ACH-000655,56645356,5.962621
ACH-000655,78209992,3.49727
ACH-000655,54761306,3.598486
ACH-000655,52913813,4.84679
ACH-000655,71496458,3.171682
ACH-000655,9933475,3.946989
ACH-000655,24788740,4.793428
ACH-000655,56941241,5.697074
ACH-000655,70676303,1.579833
ACH-000655,68107965,5.078309
ACH-000655,91668541,5.859508
ACH-000655,10385095,1.144545
ACH-000655,227681,6.313293
ACH-000655,9825149,2.995719
ACH-000655,46931953,4.182327
ACH-000655,68289010,2.49998
ACH-000655,992586,3.663301
ACH-000655,2984337,5.171508
ACH-000655,11178236,-6.051875
ACH-000655,71297207,4.083537
ACH-000655,104842,-4.309603
ACH-000655,25126798,5.055793
ACH-000655,11640390,5.235029
ACH-000655,41867,-0.49578
ACH-000655,2907,4.842215
ACH-000655,24360,-3.039969
ACH-000655,6710780,-4.119321
ACH-000655,84691,2.309489
ACH-000655,6253,2.574072
ACH-000655,148124,-4.106677
ACH-000655,126941,-2.327864
ACH-000655,123631,3.381182
ACH-000655,24978538,5.192491
ACH-000655,5311,1.923807
ACH-000655,644241,4.648317
ACH-000655,44182295,3.665646
ACH-000655,6918289,1.605002
ACH-000655,23725625,4.123727
ACH-000655,11960529,5.450762
ACH-000655,5328940,2.734377
ACH-000655,216326,6.039525
ACH-000655,6450551,3.294947
ACH-000655,11152667,0.702486
ACH-000655,9943465,4.259851
ACH-000403,126565,0.471861
ACH-000403,176158,3.739233
ACH-000403,6505803,-1.026908
ACH-000403,5311497,-1.859531
ACH-000403,11667893,6.630016
ACH-000403,5278396,5.70876
ACH-000403,10184653,1.350956
ACH-000403,24776445,6.575288
ACH-000403,24180719,6.788903
ACH-000403,11327430,4.370832
ACH-000403,16720766,2.576992
ACH-000403,11488320,2.108067
ACH-000403,156422,5.907628
ACH-000403,11624601,5.512845
ACH-000403,51042438,0.592099
ACH-000403,24737642,4.000741
ACH-000403,10384072,3.689186
ACH-000403,11433190,7.258145
ACH-000403,208908,2.373072
ACH-000403,1401,4.530404
ACH-000403,9914412,2.469366
ACH-000403,24771867,2.662515
ACH-000403,56649450,2.134442
ACH-000403,46930998,2.586971
ACH-000403,5330286,4.12152
ACH-000403,51001932,0.997581
ACH-000403,57345410,5.975916
ACH-000403,11977753,-1.832683
ACH-000403,17755052,1.076495
ACH-000403,25262965,-0.914998
ACH-000403,9826528,-2.79156
ACH-000403,24866313,-0.797768
ACH-000403,10127622,0.63145
ACH-000403,9927531,6.368803
ACH-000403,2155128,4.193624
ACH-000403,3899,5.123964
ACH-000403,2314623,6.657455
ACH-000403,11404337,-0.193218
ACH-000403,9938202,4.195452
ACH-000403,25227847,4.821277
ACH-000403,46883536,5.686911
ACH-000403,3385,4.979016
ACH-000403,68947304,6.015706
ACH-000403,11634725,1.374275
ACH-000403,16224745,5.176198
ACH-000403,3062316,-0.139873
ACH-000403,36314,0.830158
ACH-000403,4261,2.98601
ACH-000403,11626560,2.796516
ACH-000403,118704762,5.912198
ACH-000403,216239,3.145079
ACH-000403,11364421,0.812
ACH-000403,46926973,6.401495
ACH-000403,60838,5.393326
ACH-000403,5310940,4.765558
ACH-000403,117072552,5.490787
ACH-000403,51000408,5.344874
ACH-000403,25124816,5.041253
ACH-000403,59472121,4.943603
ACH-000403,72200024,3.22672
ACH-000403,42623951,5.580378
ACH-000403,49847690,2.828363
ACH-000403,53469448,5.600726
ACH-000403,78243717,5.710757
ACH-000403,24753719,6.10648
ACH-000403,57519544,5.917151
ACH-000403,46943432,2.060701
ACH-000403,9936746,1.748069
ACH-000403,71268957,2.136878
ACH-000403,60167849,5.182889
ACH-000403,59473233,4.954128
ACH-000403,44462758,2.804418
ACH-000403,44631912,4.072822
ACH-000403,71299339,4.759155
ACH-000403,1018,6.357458
ACH-000403,52918385,5.421894
ACH-000403,11609586,4.9737
ACH-000403,42642645,1.534806
ACH-000403,46907787,1.082136
ACH-000403,71271629,2.717179
ACH-000403,56962337,2.712756
ACH-000403,176870,1.021039
ACH-000403,9931953,5.927292
ACH-000403,24958200,4.382941
ACH-000403,24856436,1.04882
ACH-000403,46926350,-1.50597
ACH-000403,60750,1.809953
ACH-000403,387447,-4.715473
ACH-000403,9858940,1.558907
ACH-000403,2733526,3.46736
ACH-000403,104741,3.857932
ACH-000403,56962336,6.598383
ACH-000403,44632017,3.885482
ACH-000403,9813758,3.384876
ACH-000403,25099184,2.412524
ACH-000403,51039095,3.636322
ACH-000403,24821094,5.034525
ACH-000403,70983932,6.478891
ACH-000403,46236925,0.429742
ACH-000403,11655119,6.16565
ACH-000403,35397514,4.707008
ACH-000403,2802462,4.968186
ACH-000403,73555129,4.338343
ACH-000403,462382,-1.394869
ACH-000403,11707110,-3.846814
ACH-000403,44462760,6.955315
ACH-000403,5394,8.283369
ACH-000403,5460769,2.506495
ACH-000403,49846579,3.406815
ACH-000403,11228183,1.645435
ACH-000403,46843057,1.328282
ACH-000403,56645356,5.980064
ACH-000403,78209992,1.830478
ACH-000403,54761306,4.513191
ACH-000403,52913813,2.462493
ACH-000403,71496458,0.561993
ACH-000403,9933475,1.638849
ACH-000403,24788740,1.83153
ACH-000403,56941241,5.494732
ACH-000403,70676303,-0.35447
ACH-000403,68107965,5.726451
ACH-000403,91668541,4.851757
ACH-000403,10385095,-0.003314
ACH-000403,227681,7.369768
ACH-000403,9825149,1.91123
ACH-000403,46931953,5.396042
ACH-000403,68289010,3.416688
ACH-000403,992586,2.154273
ACH-000403,2984337,2.15635
ACH-000403,11178236,-5.781672
ACH-000403,71297207,1.153191
ACH-000403,104842,3.627931
ACH-000403,25126798,6.13089
ACH-000403,11640390,2.906827
ACH-000403,41867,0.065887
ACH-000403,2907,5.192413
ACH-000403,24360,-0.704139
ACH-000403,6710780,-0.699987
ACH-000403,84691,5.569773
ACH-000403,6253,3.299306
ACH-000403,148124,-1.684579
ACH-000403,126941,0.438762
ACH-000403,123631,2.301677
ACH-000403,24978538,2.161504
ACH-000403,5311,1.670841
ACH-000403,644241,5.678898
ACH-000403,44182295,-0.067088
ACH-000403,6918289,2.359849
ACH-000403,23725625,5.663151
ACH-000403,11960529,6.671577
ACH-000403,5328940,3.425916
ACH-000403,216326,6.175048
ACH-000403,6450551,5.131471
ACH-000403,11152667,1.786151
ACH-000403,9943465,4.376563
ACH-000007,126565,0.024441
ACH-000007,176158,3.048123
ACH-000007,6505803,-1.886624
ACH-000007,5311497,-3.521728
ACH-000007,11667893,5.775309
ACH-000007,5278396,5.775309
ACH-000007,10184653,-0.259734
ACH-000007,24776445,4.616114
ACH-000007,24180719,5.060211
ACH-000007,11327430,3.189255
ACH-000007,11488320,1.634124
ACH-000007,156422,5.35352
ACH-000007,11624601,5.540519
ACH-000007,51042438,1.28726
ACH-000007,24737642,5.528602
ACH-000007,11433190,1.406242
ACH-000007,208908,1.37076
ACH-000007,1401,3.514301
ACH-000007,9914412,1.744665
ACH-000007,24771867,0.25052
ACH-000007,56649450,3.180765
ACH-000007,46930998,0.824578
ACH-000007,5330286,1.209893
ACH-000007,51001932,0.327674
ACH-000007,57345410,5.133465
ACH-000007,17755052,0.296864
ACH-000007,25262965,-0.138152
ACH-000007,9826528,-3.224086
ACH-000007,24866313,0.024482
ACH-000007,10127622,-0.7312
ACH-000007,2155128,3.441628
ACH-000007,3899,5.065966
ACH-000007,2314623,5.698212
ACH-000007,11404337,0.521782
ACH-000007,9938202,3.170517
ACH-000007,46883536,4.887107
ACH-000007,3385,1.742438
ACH-000007,11634725,-0.154789
ACH-000007,3062316,2.264065
ACH-000007,4261,1.350856
