Cell,Drug,ic50
ACH-000945,24951314,1.461066946
ACH-000945,53302361,2.163849085
ACH-000945,159324,2.531279587
ACH-000945,9863776,1.847527913
ACH-000945,36462,3.050507403
ACH-000945,5746,1.63245441
ACH-000945,46224516,5.076388401
ACH-000945,3463933,2.678300116
ACH-000945,44143370,4.311823708
ACH-000945,10027278,2.884415628
ACH-000945,5289247,3.786997185
ACH-000945,25195352,4.068026705
ACH-000945,10109823,2.870574277
ACH-000945,521106,4.556512363
ACH-000945,637858,2.406070617
ACH-000945,31703,-1.670196085
ACH-000945,10077147,2.258364098
ACH-000958,24951314,1.60636712
ACH-000958,53302361,2.228576394
ACH-000958,159324,2.238187088
ACH-000958,9863776,1.175688484
ACH-000958,36462,0.310492449
ACH-000958,9903786,3.900767964
ACH-000958,44143370,4.313476306
ACH-000958,56965967,4.214351358
ACH-000958,25195352,3.636688375
ACH-000958,521106,3.792617185
ACH-000958,637858,2.8480299
ACH-000958,300471,-2.712946603
ACH-000958,10113978,2.569310652
ACH-000958,31703,-3.376015954
ACH-000958,10077147,1.432416412
ACH-000958,53340664,3.184414009
ACH-000334,9952773,4.132837906
ACH-000334,10074640,3.939355485
ACH-000334,53302361,0.579964514
ACH-000334,9863776,2.206874976
ACH-000334,46224516,1.438314153
ACH-000334,42640,4.069518594
ACH-000334,9903786,3.219391664
ACH-000334,3463933,2.540926474
ACH-000334,44143370,3.848092343
ACH-000334,10027278,2.385699589
ACH-000334,16760646,0.122708121
ACH-000334,56965967,4.233003485
ACH-000334,25195352,4.163133437
ACH-000334,16747388,3.014731987
ACH-000334,9956222,0.917807458
ACH-000334,521106,3.921099482
ACH-000334,16722836,2.547899206
ACH-000334,637858,2.853758501
ACH-000334,31703,-1.869659048
ACH-000334,10077147,1.783564427
ACH-000334,44551660,2.940607958
ACH-000334,53340664,2.118319212
ACH-000476,9952773,3.998638115
ACH-000476,10074640,4.257909279
ACH-000476,24951314,1.643490091
ACH-000476,6852167,3.260577469
ACH-000476,9863776,2.972339329
ACH-000476,36462,2.722806238
ACH-000476,3218,2.84018714
ACH-000476,46885626,3.187652367
ACH-000476,44143370,3.510018485
ACH-000476,10027278,2.344274201
ACH-000476,56965967,3.860666418
ACH-000476,11282283,4.263553537
ACH-000476,16747388,3.117646904
ACH-000476,10109823,2.195547169
ACH-000476,521106,4.537023812
ACH-000476,637858,2.657576639
ACH-000476,9810884,3.114147396
ACH-000476,31703,-1.129452014
ACH-000476,10077147,1.921045566
ACH-000476,44551660,1.862114737
ACH-000476,53340664,2.4742841
ACH-000772,11754511,3.136464369
ACH-000772,11404337,1.301507142
ACH-000772,16663089,1.429435691
ACH-000772,6852167,3.977132417
ACH-000772,5746,1.372218916
ACH-000772,3463933,2.522103534
ACH-000772,44143370,4.205466082
ACH-000772,10027278,3.871202551
ACH-000772,5289247,4.255367146
ACH-000772,5717801,2.914289875
ACH-000772,10200390,2.418950129
ACH-000772,10109823,2.888076367
ACH-000772,9549184,2.188049129
ACH-000772,521106,3.911480515
ACH-000772,446378,-3.673718109
ACH-000772,31703,-2.766572604
ACH-000772,53340664,3.165638078
ACH-000756,11754511,2.776048983
ACH-000756,10074640,4.120123599
ACH-000756,24951314,-0.464367292
ACH-000756,6852167,3.831854463
ACH-000756,53302361,1.950634721
ACH-000756,159324,2.828013073
ACH-000756,9863776,1.568688776
ACH-000756,36462,0.183174225
ACH-000756,24825971,2.342651777
ACH-000756,46224516,3.147205308
ACH-000756,42640,3.923090909
ACH-000756,3218,2.20009673
ACH-000756,9903786,4.171494335
ACH-000756,44137675,1.617581787
ACH-000756,42642645,-0.913185884
ACH-000756,44143370,4.129367905
ACH-000756,10027278,3.373192259
ACH-000756,5289247,4.096916841
ACH-000756,9967941,4.184135456
ACH-000756,10200390,2.960423583
ACH-000756,56965967,4.273482506
ACH-000756,46191454,3.29671437
ACH-000756,9956222,2.333487003
ACH-000756,10109823,1.958321104
ACH-000756,9549184,1.828936613
ACH-000756,11647372,1.44902134
ACH-000756,16722836,2.606856074
ACH-000756,637858,0.548365505
ACH-000756,31703,-3.164867796
ACH-000756,44551660,3.736951325
ACH-000756,53340664,3.166591636
ACH-000548,9884685,1.571383662
ACH-000548,10074640,4.129836514
ACH-000548,24951314,1.274802491
ACH-000548,6852167,3.976121818
ACH-000548,25257557,2.749760593
ACH-000548,9863776,1.556690058
ACH-000548,6253,0.685403086
ACH-000548,36462,1.423210613
ACH-000548,46224516,4.804148505
ACH-000548,3218,2.639384353
ACH-000548,44143370,3.598282
ACH-000548,5289247,3.365581843
ACH-000548,5460769,4.985670469
ACH-000548,10200390,2.134901865
ACH-000548,56965967,4.031951314
ACH-000548,25195352,3.993221894
ACH-000548,46191454,3.139089801
ACH-000548,25262965,0.135455651
ACH-000548,16747388,2.842209002
ACH-000548,10109823,2.134773646
ACH-000548,11647372,1.503974763
ACH-000548,521106,3.642068096
ACH-000548,16722836,3.154556258
ACH-000548,11455910,0.522505731
ACH-000548,4263900,2.859440849
ACH-000548,53340664,2.40880013
ACH-000548,6710780,-4.734984357
ACH-000615,10074640,4.302710541
ACH-000615,24951314,2.594491668
ACH-000615,11404337,0.433069314
ACH-000615,5208,3.785397744
ACH-000615,159324,3.909428178
ACH-000615,6253,0.413324498
ACH-000615,5746,3.495213382
ACH-000615,46224516,4.073770666
ACH-000615,42640,4.259941907
ACH-000615,3218,2.805894861
ACH-000615,24756910,0.460171126
ACH-000615,44143370,3.263000314
ACH-000615,6918454,-0.16909843
ACH-000615,56965967,4.181403154
ACH-000615,16747388,2.605151559
ACH-000615,11455910,-0.421139701
ACH-000615,6918638,1.889471504
ACH-000615,6710780,-5.531686401
ACH-000420,10074640,4.189800838
ACH-000420,9863776,2.584653588
ACH-000420,3218,4.222974622
ACH-000420,24756910,2.121327079
ACH-000420,3463933,2.662594102
ACH-000420,44143370,4.152742327
ACH-000420,10027278,2.79814232
ACH-000420,5289247,4.114058912
ACH-000420,11282283,3.511199584
ACH-000420,16722836,3.252298165
ACH-000420,637858,2.737038479
ACH-000420,31703,-0.039138678
ACH-000420,9874913,3.314571448
ACH-000420,53340664,2.708913006
ACH-000420,25102847,2.299774816
ACH-000595,24951314,2.618002026
ACH-000595,9863776,0.552800085
ACH-000595,6914657,-6.045434122
ACH-000595,46224516,4.940464753
ACH-000595,3218,4.18918818
ACH-000595,24756910,0.482118913
ACH-000595,10027278,3.712464257
ACH-000595,5289247,4.25441695
ACH-000595,10109823,2.933011134
ACH-000595,521106,4.831855972
ACH-000595,637858,1.285494999
ACH-000595,31703,-1.387572537
ACH-000595,6918638,1.437598933
ACH-000832,24951314,0.855830785
ACH-000832,6852167,4.27309063
ACH-000832,5208,2.353133755
ACH-000832,159324,2.26914863
ACH-000832,9863776,0.791154459
ACH-000832,3463933,2.289990857
ACH-000832,44143370,4.261382312
ACH-000832,5289247,3.461698929
ACH-000832,6918454,1.430714569
ACH-000832,46191454,2.869342342
ACH-000832,46843772,2.909172586
ACH-000832,10109823,2.010178481
ACH-000832,521106,4.520456543
ACH-000832,637858,2.056244982
ACH-000365,11754511,2.569928888
ACH-000365,10074640,3.956694595
ACH-000365,24951314,-0.640094415
ACH-000365,176167,2.707560724
ACH-000365,5208,1.030306872
ACH-000365,159324,3.238687612
ACH-000365,9863776,3.064028943
ACH-000365,160355,3.961612176
ACH-000365,5746,1.080488235
ACH-000365,24825971,1.782793445
ACH-000365,46224516,1.941483441
ACH-000365,3218,2.871447986
ACH-000365,9903786,3.689886912
ACH-000365,5329102,1.795191032
ACH-000365,7251185,2.316511622
ACH-000365,46844147,2.069197439
ACH-000365,3463933,1.930799126
ACH-000365,44143370,4.068680838
ACH-000365,10027278,2.16928587
ACH-000365,16760646,0.09262482
ACH-000365,10200390,1.818700938
ACH-000365,56965967,4.155953686
ACH-000365,46191454,2.485564234
ACH-000365,11282283,3.68434688
ACH-000365,25262965,0.425632199
ACH-000365,16747388,2.402279116
ACH-000365,9956222,2.007581101
ACH-000365,10109823,2.174874011
ACH-000365,521106,2.20712831
ACH-000365,16722836,3.241790925
ACH-000365,10113978,2.983172333
ACH-000365,9810884,4.114488107
ACH-000365,31703,-1.572927972
ACH-000365,44551660,2.456138885
ACH-000365,6445562,0.975222599
ACH-000679,5208,0.823179815
ACH-000679,159324,3.780688469
ACH-000679,24756910,1.514413066
ACH-000679,6918848,1.258785991
ACH-000679,10027278,3.199815104
ACH-000679,10109823,2.737725571
ACH-000679,637858,2.003674747
ACH-000679,300471,-3.879149523
ACH-000679,31703,-1.770169425
ACH-000679,6918638,4.235814668
ACH-000789,9952773,4.294226859
ACH-000789,10074640,3.272245755
ACH-000789,24951314,-1.048815789
ACH-000789,6852167,4.147799291
ACH-000789,25257557,2.722528903
ACH-000789,53302361,1.179838119
ACH-000789,159324,2.43254488
ACH-000789,9863776,2.357131202
ACH-000789,36462,1.221732118
ACH-000789,46224516,2.872522353
ACH-000789,3218,3.014312096
ACH-000789,44143370,4.182992407
ACH-000789,56965967,4.242172426
ACH-000789,25195352,3.68046581
ACH-000789,521106,4.744861226
ACH-000789,637858,1.684250001
ACH-000789,4263900,2.958245959
ACH-000789,44551660,2.288384948
ACH-000789,53340664,3.040642073
ACH-000674,24951314,1.924517012
ACH-000674,159324,3.627702841
ACH-000674,36462,3.434236031
ACH-000674,46224516,3.636462655
ACH-000674,42640,2.464943056
ACH-000674,3218,4.458937065
ACH-000674,3463933,3.923181326
ACH-000674,56965967,3.888872309
ACH-000674,25195352,3.50844649
ACH-000674,521106,4.905844734
ACH-000674,16722836,2.804629809
ACH-000674,637858,2.495768512
ACH-000674,25102847,2.190340273
ACH-000197,24951314,0.837635006
ACH-000197,16663089,1.721191423
ACH-000197,5208,3.186641767
ACH-000197,5746,1.667859956
ACH-000197,46224516,3.695623665
ACH-000197,44143370,4.157990973
ACH-000197,10027278,3.875273729
ACH-000197,16760646,0.082964789
ACH-000197,521106,4.950765511
ACH-000197,6445562,3.995997651
ACH-000197,49836027,-0.541174533
ACH-000023,24951314,2.998404178
ACH-000023,5208,0.400642966
ACH-000023,159324,2.662900243
ACH-000023,9863776,0.2081631
ACH-000023,36462,1.39209164
ACH-000023,3218,2.291113862
ACH-000023,6918848,1.578051284
ACH-000023,10109823,2.467653761
ACH-000023,11647372,1.938446986
ACH-000023,521106,3.840978455
ACH-000023,637858,2.032545544
ACH-000023,31703,-3.318917372
ACH-000023,44551660,3.095517962
ACH-000023,6918638,1.915359575
